CANONICAL_ID,VIEWPORT,REFERENCE_FILE,IMPLEMENTATION_FILE,SIDE_BY_SIDE_FILE,DIFF_FILE,REFERENCE_SHA256_16,IMPLEMENTATION_SHA256_16,DRIVE_FILE_ID,DRIVE_FOLDER,READBACK_STATUS
1t,mobile,references/1t__mobile__reference.png,implementations/1t__mobile__implementation.png,side-by-side/1t__mobile__side-by-side.png,diff/1t__mobile__diff.png,1a6ea6c5d246238d,dcb1bdd7757dee95,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1t,tablet-portrait,references/1t__tablet-portrait__reference.png,implementations/1t__tablet-portrait__implementation.png,side-by-side/1t__tablet-portrait__side-by-side.png,diff/1t__tablet-portrait__diff.png,27c5db1fa81e8899,4839d250d1c4443e,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1t,tablet-landscape,references/1t__tablet-landscape__reference.png,implementations/1t__tablet-landscape__implementation.png,side-by-side/1t__tablet-landscape__side-by-side.png,diff/1t__tablet-landscape__diff.png,422273ababe53d1e,e69faff99c9a0187,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1u,mobile,references/1u__mobile__reference.png,implementations/1u__mobile__implementation.png,side-by-side/1u__mobile__side-by-side.png,diff/1u__mobile__diff.png,ca7beaf618c18d89,ffc21329ded96145,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1u,tablet-portrait,references/1u__tablet-portrait__reference.png,implementations/1u__tablet-portrait__implementation.png,side-by-side/1u__tablet-portrait__side-by-side.png,diff/1u__tablet-portrait__diff.png,62543c36bea183df,77de29329db6d81c,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1u,tablet-landscape,references/1u__tablet-landscape__reference.png,implementations/1u__tablet-landscape__implementation.png,side-by-side/1u__tablet-landscape__side-by-side.png,diff/1u__tablet-landscape__diff.png,537f36ea659c9516,47ca82e3ce74712b,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1v,mobile,references/1v__mobile__reference.png,implementations/1v__mobile__implementation.png,side-by-side/1v__mobile__side-by-side.png,diff/1v__mobile__diff.png,3ff51f027e56e04c,c50cd7f281902942,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1v,tablet-portrait,references/1v__tablet-portrait__reference.png,implementations/1v__tablet-portrait__implementation.png,side-by-side/1v__tablet-portrait__side-by-side.png,diff/1v__tablet-portrait__diff.png,864c7075bd8e7909,fb056358d8379a8f,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1v,tablet-landscape,references/1v__tablet-landscape__reference.png,implementations/1v__tablet-landscape__implementation.png,side-by-side/1v__tablet-landscape__side-by-side.png,diff/1v__tablet-landscape__diff.png,a709ce635dced1d4,e2f46f7538cd589e,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1w,mobile,references/1w__mobile__reference.png,implementations/1w__mobile__implementation.png,side-by-side/1w__mobile__side-by-side.png,diff/1w__mobile__diff.png,1fa08288681ff0b1,49e46a8e0c4b8cae,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1w,tablet-portrait,references/1w__tablet-portrait__reference.png,implementations/1w__tablet-portrait__implementation.png,side-by-side/1w__tablet-portrait__side-by-side.png,diff/1w__tablet-portrait__diff.png,fd0134f483d431aa,eb5b4276247f980f,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1w,tablet-landscape,references/1w__tablet-landscape__reference.png,implementations/1w__tablet-landscape__implementation.png,side-by-side/1w__tablet-landscape__side-by-side.png,diff/1w__tablet-landscape__diff.png,a4ef834b442ef86c,83f0e9af62ecc8b2,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1x,mobile,references/1x__mobile__reference.png,implementations/1x__mobile__implementation.png,side-by-side/1x__mobile__side-by-side.png,diff/1x__mobile__diff.png,a6da6308145a7be2,73cb7b3b35df264f,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1x,tablet-portrait,references/1x__tablet-portrait__reference.png,implementations/1x__tablet-portrait__implementation.png,side-by-side/1x__tablet-portrait__side-by-side.png,diff/1x__tablet-portrait__diff.png,63657c11fbc39926,53f6417c597eee1e,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1x,tablet-landscape,references/1x__tablet-landscape__reference.png,implementations/1x__tablet-landscape__implementation.png,side-by-side/1x__tablet-landscape__side-by-side.png,diff/1x__tablet-landscape__diff.png,2f0c9068d1d77700,92717dc4e554e66d,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1z,mobile,references/1z__mobile__reference.png,implementations/1z__mobile__implementation.png,side-by-side/1z__mobile__side-by-side.png,diff/1z__mobile__diff.png,176af58db5839d1d,6d85ce9fcfc49490,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1z,tablet-portrait,references/1z__tablet-portrait__reference.png,implementations/1z__tablet-portrait__implementation.png,side-by-side/1z__tablet-portrait__side-by-side.png,diff/1z__tablet-portrait__diff.png,292cfdc29700d398,9f26a858e63fd3eb,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1z,tablet-landscape,references/1z__tablet-landscape__reference.png,implementations/1z__tablet-landscape__implementation.png,side-by-side/1z__tablet-landscape__side-by-side.png,diff/1z__tablet-landscape__diff.png,0a6c248ed56da04a,57e52f8553204fd5,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
2a,mobile,references/2a__mobile__reference.png,implementations/2a__mobile__implementation.png,side-by-side/2a__mobile__side-by-side.png,diff/2a__mobile__diff.png,a62387a6e1a5a1ee,d1d05a0d41efd40a,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
2a,tablet-portrait,references/2a__tablet-portrait__reference.png,implementations/2a__tablet-portrait__implementation.png,side-by-side/2a__tablet-portrait__side-by-side.png,diff/2a__tablet-portrait__diff.png,92c5279671b01bd3,77ed6cf82f5acfb3,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
2a,tablet-landscape,references/2a__tablet-landscape__reference.png,implementations/2a__tablet-landscape__implementation.png,side-by-side/2a__tablet-landscape__side-by-side.png,diff/2a__tablet-landscape__diff.png,46f8ca279ed14a08,6facaf41eac13885,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
2b,mobile,references/2b__mobile__reference.png,implementations/2b__mobile__implementation.png,side-by-side/2b__mobile__side-by-side.png,diff/2b__mobile__diff.png,392aa41e28d0b96f,98d93d82a6945c2c,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
2b,tablet-portrait,references/2b__tablet-portrait__reference.png,implementations/2b__tablet-portrait__implementation.png,side-by-side/2b__tablet-portrait__side-by-side.png,diff/2b__tablet-portrait__diff.png,61c4d39417b23d66,da56bebfad258462,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
2b,tablet-landscape,references/2b__tablet-landscape__reference.png,implementations/2b__tablet-landscape__implementation.png,side-by-side/2b__tablet-landscape__side-by-side.png,diff/2b__tablet-landscape__diff.png,6d4a5a29ec2cecf6,5c1c19ff17c40c2d,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
2c,mobile,references/2c__mobile__reference.png,implementations/2c__mobile__implementation.png,side-by-side/2c__mobile__side-by-side.png,diff/2c__mobile__diff.png,27a7064a22265e0f,84e4bd06a3928d82,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
2c,tablet-portrait,references/2c__tablet-portrait__reference.png,implementations/2c__tablet-portrait__implementation.png,side-by-side/2c__tablet-portrait__side-by-side.png,diff/2c__tablet-portrait__diff.png,5a1cf371968b18dd,386922384cbbaebe,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
2c,tablet-landscape,references/2c__tablet-landscape__reference.png,implementations/2c__tablet-landscape__implementation.png,side-by-side/2c__tablet-landscape__side-by-side.png,diff/2c__tablet-landscape__diff.png,a6d0890c8f6c14ab,dc66d4b37b037994,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
2e,mobile,references/2e__mobile__reference.png,implementations/2e__mobile__implementation.png,side-by-side/2e__mobile__side-by-side.png,diff/2e__mobile__diff.png,8a09ddad0cd898e3,8270361c482932e6,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
2e,tablet-portrait,references/2e__tablet-portrait__reference.png,implementations/2e__tablet-portrait__implementation.png,side-by-side/2e__tablet-portrait__side-by-side.png,diff/2e__tablet-portrait__diff.png,13184f1e1cb638a7,19faab22fde340f9,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
